temizlenmis_metin,Kategori1,Kategori2,combined_label,ÜCRET İADESİ,BAGAJ,MÜŞTERİ HİZMETLERİ,UYGULAMA/TEKNİK,RÖTAR
acil taziye yolcu uçağ alın yetersiz i̇ade mağduriyet ek tarih firma ankara aktar yüksekova uç büyük bir mağduriyet yaşa anne vefat nedeniyle acil ol taziye git gerek çukurova havaalan uçuş dakika kala gişe bagaj yok ancak güvenlik poli tarafından oyala kapı henüz aç buna rağmen “geç kaldınız” uçağ alın bilet a c iki kişi ol toplam tl öde ancak sadece tl iade ed yaşa acın üzerine bir mağduriyet ek müşteri hizmet görüş yeterince erken gel söylen fakat bagaj ol direkt uçağ alın inisiyatif kullan aynı firma anne önce benzer bir dakika kala uçağ alın ’ten yaşa mağduriyet gider öde bilet ücret tamam iade talep ed ücret i̇adesi̇,ÜCRET İADESİ,,ÜCRET İADESİ,1,0,0,0,0
’in kır bebek araba sonra tazminat i̇letişim mağduriyet ağustos tarih ’in vf sefer sayılı uç dalaman havaliman in bagaj teslim alan bebek araba kırık ol fark et hemen yetkili başvur dlmvf numara tutanak düzenle gün beri müşteri hizmet eposta üzer defalarca iletişim geç ancak yaşa mağduriyet üzerine bir iletişim sorun ek soru yanıt al sürekli aynı otomatik cevapla gönder talep karşı son eylül yine aynı içerik bir mail ilet tazminat tutar ol tl teklif ed fakat öde ban şekil bir uyar iletildiad soyad bank hesap sahib uyuş hal öde gerçek gir bank fark bir şahs ait lütfen mesaj yaz bildiri bulununuzeşim evlilik dolayı soyad değiş on hesab eski soyad ait ben kendi bank firma mesaj ilet özellikle belirt buna rağmen halen öde yap üstelik süreç boyunca bebek araba ben kır suçla ilgi bir yaklaşım karşı ben eş adına yeni bir bank hesab aç iste mağduriyet artır tl değer bebek araba kır mağduriyet gider iletişim büyük sorun yaşa yeni bebek araba al ulaş bebeğ birlikte günlerce zor sıkıntı yaşa hayat adeta zehir ol belge eksik ilet rağmen halen çöz üret ’in yaklaşım kabul et mağduriyet bir an önce gider tazminat öde yap talep ed bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
a jet valiz hasar tazmin et gün çöz bekl tarih ankarabodrum uç a jet teslim et valiz taş sırasında ciddi şekil hasar gör valiz taş aparat tamamen kır deri yırt artık kullan hal gel sonra defalarca başvuru bulun numara başvuru üzer gün çöz bekl valiz al firma tamir mümkün olmadığ belirt resmi yazı ilet buna rağmen a jet öde yap sürekli aynı olumsuz mai gönder devam ed hiçbir yetkili doğrudan iletişim geç imkan tanı yaşa mağduriyet gider valiz yaklaşık tl tutar bedel öde aynı özellik yeni bir valiz ver talep ed önce benzer kayıp hasar sorun yaşa ilk tutanak tut işlem yap tutanak ol rağmen tazminat birim yetersiz karşı sadece bagaj aksak birim geri bildiri platform aynı şekil ilgi çöz odak ol yanıtla ver a jet mağduriyet bir an önce gider müşteri memnuniyet uygun bir çöz sun ist bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
ajetuçuşu sonra yeni valiz tekerleğ kır başvuru redded eylül öğle saat ercan sabiha gökçen’e gerçek uçuş sonra benetton mark yeni valiz tekerleğ kır fark et valiz taş aracı taşı araba bin hasar gör hemen ’in online form doldur bildir hasar göster fotoğraf ekle ancak ban havaliman tutanak tutul gerekçe hiçbir işlem yap belirt dosya numara başvuru redded uç pnr kod qa ’dur valiz oldukça yeni garanti kapsam ol rağmen tür taş kaynak hasar garanti gir belirt önce fark bir havayol benzer bir yaşa güncel valiz bedel kadar tazminat al pazartesi gün tekrar uç ol acil ol valiz ücret iade ed talep ed ’in yolcu eşya özen yaklaş mağduriyet hızlı gider bekl bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
yaş ameliyat yolcu i̇çin tekerlek sandalye hizmet sağ mağduriyet yaşa eylül tarih firma i̇zmirden i̇stanbul aktar ol lyon gidiş bilet sat al yolcu a g’in yaş ileri yaş ayak ameliyat ol nedeniyle bilet al aşama sonra yolcu boyunca i̇zmir i̇stanbul lyon havaliman tekerlek sandalye hizmet taleb ol ancak bilet al böyle bir seçenek sun müşteri hizmet ara gerek belirt bilet alım hemen sonra defalarca müşteri hizmet ara rezervasyon kod feb başvuru ilet ayrıca müşteri hizmet kendi iç eposta başvuru yap belirt ancak ara geçen sür boyunca hiçbir şekil olumlu dönüş yap ara müsait yok cevab al bilet sat al anında sun bilet al sonra telefon talep ed bir hizmet müsait olmadığ söyle bilet değişik ücret talep et müşteri hizmet aynı cümle oyala kadar kurum bir firma yakış yaklaşık iki haf devam ed mağduriyet nedeniyle özellikle yaş ameliyat yolcu mağdur ol acil ol yarın sabah gerçek uç özellikle i̇stanbul aktar havaliman tekerlek sandalye hizmet gerek aksi hal lyon aktar i̇stanbuldaki uçağ yetiş imkan müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
vefat nedeniyle kullan bilet i̇adesinde çöz bulun eylül tarih ankaraşanlıurfa uç pd p rezervasyon numara iki yakın kendi kart bilet al iletişim ol kendi kaydet yazık yolcu vefat et uçuş katıl bilet iptal talep et ilk başvuru toplam tl düşük bir miktar hesab iade ed müşteri hizmet yap görüşme ölüm belge diğer belge sistem yükle yüksek bir iade al söylen belge eksik ol ilet üzerine ban bilet baş tl ol üzere toplam adet iade çek gönder ban gönder eposta çek tekrar bilet alım kullan iste iade tutar hesab transfer ed belirt üzerine çek nakit ol kart iade ed talep et müşteri hizmet rahmetli kişi başvur gerek noter tasdik vekaletname sun iste defalarca açıkla yap rağmen vefat ed adına vekaletname alın anlat zor kal ara fark bir temsilci görüş aynı açıklama tekrar et yor çöz al bilet herhangi bir kampanya promosyon kapsam alın ol ’in kendi web site üzer sat alın ben yolcu ol rağmen bilet alın kart sahib iletişim kişi ol toplam tl’lik iade çek tekrar bilet alım kullan yerine öde yap kart nakit ol iade ed talep ed ücret i̇adesi̇ müşteri̇ hi̇zmetleri̇,ÜCRET İADESİ,MÜŞTERİ HİZMETLERİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
ajetuçuşu sonra bagaj kulp kır rapor alın i̇çin mağduriyet yaşa tarih yap uçuş sonra ercan havaliman bagaj teslim al ancak bagaj çek kulp kısm kırık ol fark et saat civar bagaj bant al transfer arac kaçır acil çıkış yap herhangi bir tutanak rapor tut sadece kulp kısm hasar oluş başka bir zarar yok sonra müşteri hizmet iletişim geç ben hasar ilgili rapor talep ed ancak saat koşul rapor tut mümkün ol uçuş bilet numara qb s bagaj hasar ücret iade talep ed mağduriyet gider ed bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
ajetuçuşunda yetersiz bilgilen nedeniyle uçağ alın mağduriyet ek tarih sharm el sheikh i̇stanbul’a saat ’te gerçek uç havaliman uçuş saat saat önce gel ancak havaliman ilk kontrol bir polis tarafından doğrudan geri çevr information desk’e yönlen bura görev yardımcı ol kendi başka bir bilet al gerek söyle tarafından check sırasında önce “ saat önce havaliman ol gerekir” yön herhangi bir bilgilen yap başka bir firma al dönüş bilet check sayfa açık saat önce gel gerek yaz fakat ’te böyle bir ulaş maddi manevi ol mağdur ol bin tl civar öde yap uçuş alın yeni bilet al başka borç al zor kal gece ’ten beri uyku stres bir şekil bekle zor kal an hala yurt dış ol müşteri hizmet iletişim geç yaşa mağduriyet gider bilet ücret iade yaşa mağduriyet telafi ed talep ed müşteri̇ hi̇zmetleri̇ ücret i̇adesi̇,MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
ajetuçuşunda bomb i̇hbarı yetersiz yolcu hizmet nedeniyle yaşa mağduriyet eylül tarih gerçek antalya ayt – ankara esb – bakü gyd uç ciddi bir mağduriyet yaşa bakü heydar aliyev havaliman varış uçak bomb ihbar ol ver yaklaşık dakika boyunca uçak panik korku içinde bekle uçak indir sonra havaliman detay güvenlik kontrol alın süreç yaklaşık – saat sür sür boyunca herhangi bir yiyecek iç sağ serbest bırak akşam saat – civar gerçek ayrıca bagaj ancak saat bekle sonra teslim al süreç ciddi stres kaygı rahat yarat son derece olumsuz travmatik bir seyahat deney yaşa ol sonra müşteri hizmet iletişim geç ancak henüz bir yanıt al uç ait pnr kod trqy’dir yaşa mağduriyet ciddiyet göz ön bulundur bilet ücret tam iade uygun bir tazminat talep ed rötar müşteri̇ hi̇zmetleri̇,RÖTAR,MÜŞTERİ HİZMETLERİ,"MÜŞTERİ HİZMETLERİ,RÖTAR",0,0,1,0,1
kavga nedeniyle uçak bekle mağduriyet bilet i̇adesi taleb var ek tarih ’in vf sefer sayılı kıbrıssamsun uç ciddi bir mağduriyet yaşa uçak yolcu ara kavga çık uçak in sonra kavga ed kişi polis gele kadar yolcu uçak indir yaklaşık yarım saat boyunca uçak bekle aktar uç ol geniş bir bekle ol rağmen gecik yüzünden uçağ kaçır büyük bir stres kap bul zor kal kabin ekib bekle sor sadece prosedür gereğ ol başka bir açıkla yap belirt ancak mağduriyet açıkla düşün özellikle türkiye abi kaz yap nedeniyle acil bir şekil dön zaten zor bir süreç geç sırasında zaman ol psikolojik ol yıpran yaşa nedeniyle yaklaşık tl öde bilet iade talep ed yolcu ol kavga ed kişi bekle zor uçuş baş itibaren sürekli sor yaşa mağduriyet gider konu resmi bir açıkla yap ist müşteri̇ hi̇zmetleri̇ ücret i̇adesi̇,MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
ajetuçuşunda anons yap nedeniyle mağduriyet ek masraf tarih eş birlikte ’in vf sefer sayılı cenevre sabiha gökçe uç ytg pnr numara bilet al uçuş gün cenevre havaliman b kapı uçağ kalkış saat tam dakika önce gel ancak hiçbir şekil anons yap kap aç dair herhangi bir bildiri ver kapı gel uçağ henüz kalk ol rağmen kap kapat içeri alın ora bulun personel ilet anons yap ters bir yanıt al birlikte başka yolcu mağdur ol bir gün sonra tekrar cenevre dön ora kap aç yolcu anons yap bizzat gözlemle ’in uygula dolayı mağdur ol uç kaçır kal yeni bilet al otel yemek masraf toplam ek harca yap zor kal sonra müşteri hizmet iletişim geç sadece tekrar bilet al gerek söylen herhangi bir çöz telafi sun yaşa mağduriyet telafi mümkün sonra ’ten bilet al temkin ol konu mağduriyet gider yaşa açık talep ed müşteri̇ hi̇zmetleri̇,MÜŞTERİ HİZMETLERİ,,MÜŞTERİ HİZMETLERİ,0,0,1,0,0
uçuş sonra bavul tekerleğ parçala tarih vf sefer sayılı pnr numara p z ol sabiha gökçe saw – frankfurt fra uç sonra nippon mark bavul tekerlek kısm ev gel parçala ol fark et bavul üzerinde koru kılıf ol rağmen hasar oluş havaliman bavul kılıf nedeniyle gör başvuru yap hasar fotoğraf el mevcut müşteri hizmet geri bildiri form iletişim geç cevap bekl bavul herhangi bir garanti sigorta bulun hasar nedeniyle mağduriyet yaşa bavul kullanım zor yaşa zarar karşı öde tazminat talep ed bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
yanlış bilgilen yüzünden uçağ kaçır mağdur ed eylül tarih sabiha gökçe havaliman i̇stanbul’a kalk uç biniş saat kap kapan saat ol belirt uçağ kaçır maddi zaman ol mağdur ol rezervasyon numara a d antalya havaliman personel ilet ban uçağ bin davran yaşa mağduriyet anla yılla sık sık uçak seyahat ed ol ilk böyle bir soru karşı i̇stanbul’da ol gerek yeni bir bilet al zor kal ekstra masraf yap kal yanlış bilgilen nedeniyle yaşa mağduriyet gider bilet ücret iade ed bilgilen sistem düzelt talep ed müşteri̇ hi̇zmetleri̇ ücret i̇adesi̇,MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
in rötar i̇lgisizliği nedeniyle mağduriyet yaşa tatil seyahat te al uçak bilet uçuş saat yarım saat kala dakika rötar yap haliyle valiz geç al söz konu ol diğer firma uç yetiş mağdur ol ilgilen ol geç saat ücret mukabil bilet al seyahat devam et kesinlikle ilgi konu alaka yer şekil bildiri kesinlikle başvur rötar,RÖTAR,,RÖTAR,0,0,0,0,1
ajethava yol valiz zarar gör eşya kaybol eylül gün çukurova havaalan kars havaalan yolcu yap ancak iki adet valiz öyle fırla teker diğer fermuar kısm yırt içeri eşya kaybol küçük valiz ol önem eşya koy yüz eşya pek bir önem yok fakat iki adet valiz kullan hal bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
i̇le kaybol bagaj hakkında destek tazminat taleb tarih saat ’ta frankfurt havaliman sabiha gökçe havaliman gel varış bagaj bul hemen yetkili bildir ban sawvf numara dosya aç ancak üzer bir gün geç rağmen bagaj hala bulun müşteri hizmet telefon ara yalnızca araştırma ol ver başka bir çöz sun i̇çinde mark kıyafet hediye eşya bulun bagaj bir an önce bulun teslim ed ist yaşa mağduriyet gider gerek tazminat taleb değerlendir bekl konu hakkında acil destek ed bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
ajetuçuşunda toplu bagaj kayb yetersiz bilgilen mağduriyet tarih yüksekova ankara esenboğa havaliman vf sefer sayılı uç seyahat et uçuş sonunda ben ara bulun yaklaşık yolcu bagaj uçağ yükle yüksekova kal ankara esenboğa havaliman var bagaj teslim al havaliman sadece telefon adres alın imza at herhangi bir fotoğraf çekil referans takip numara ver sadece pnr numara a ss işlem yap “sizi ara adres göndereceğiz” rağmen bugün kadar hiçbir geri dönüş yap bagaj mesleğ ilgili stetoskop kaşe evrak kıyafet bulun bagaj kısa teslim ed maddi kayıp yaşa işle aksa yüksekova uçak yaklaşık dakika rötar yap süreç yolcu bagaj uçak alın gör ancak kendi bagaj ol düşün ayrıca premium paket kapsam kg ekstra bagaj ücret öde acilen bagaj aşağı belirt adres teslim ed süreç ilgili açık hızlı bir şekil bilgilen yaşa mağduriyet gider talep ed ben birlikte mağdur ol diğer yolcu adına soru kısa çöz ist adres kumlu mahalle i̇layda sokak no fertek ev a blok zemin kat no merkezniğde bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
aje tuçuşunda kaybol valiz zemzem i̇çin al ağustos tarih ’in medine havaliman ankara esenboğa havaliman ol uç valiz zemzem kaybol uçuş sonra bagaj teslim al hemen havaliman başvuru yap ayrıca müşteri hizmet iletişim geç fakat bugün kadar ban herhangi bir ver kaybol valiz hediye önem eşya bulun valiz zemzem bir an önce bulun talep ed mağduriyet gider ist bagaj,BAGAJ,,BAGAJ,0,1,0,0,0
ajethavalimanı bagaj hakk konu mağduriyet fazla ücret taleb ek tarih adıyaman havaliman yap uç bagaj hakk konu mağduriyet yaşa uç pnr kod mgt ’dir bilet kapsam kg bagaj kg el bagaj hakk bulun kontuar görev iki hakk birleş tek bir bagaj ol teslim ed mi sor olumlu yanıt al ancak toplam kg bagaj ol rağmen ban kg hakk ol söylen kg fazla bagaj ücret ol tl öde iste yan al iste sadece bir ürün al el çanta ol gerek belirt önce uç böyle bir soru karşı yaşa mağduriyet gider öde tl fazla bagaj ücret iade ed talep ed bagaj ücret i̇adesi̇,BAGAJ,ÜCRET İADESİ,"BAGAJ,ÜCRET İADESİ",1,1,0,0,0
uçağ saniye gecik nedeniyle alın ücret i̇adesi yap tarih sabiha gökçe havaliman ajette firma ait vf numara uç var zamanında havaliman ol rağmen sadece saniye gecik gerekçe uçağ alın görev personel ban “alamam gid yetkili görüşün” yetkili görüş “bir yap yeni bilet al bir sonra uç gidin” şekl yanıt al hiçbir şekil yardımcı ol ücret iade yap söylen “istediğiniz yer başvurun” mağduriyet baş baş bırak önce ajette böyle bir sor yaşa genellikle başka firma tercih ed yaşa mağduriyet gider özür dilen tl tutar bilet ücret iade ed talep ed ücret i̇adesi̇,ÜCRET İADESİ,,ÜCRET İADESİ,1,0,0,0,0
ajetbilet i̇adesi gün yap mağduriyet art ağustos tarih i̇stanbulşanlıurfa seferi thcr rezervasyon kod bilet iptal et aynı gün eposta sms yoluyla iade işlem gerçek dair bilgilen al bilet bedel kredi kart tl ol öde ancak ara gün geç rağmen iade tutar hesab yatır süreç müşteri hizmet iletişim geç eposta gönder fakat herhangi bir geri dönüş al gecik iade nedeniyle kendi öde sor yaşa mağduriyet giderek art el iade işlem yap dair yazılı belgele mevcut i̇ademin bir an önce gerçek yaşa uzun sür mağduriyet telafi işlem yap talep ed ücret i̇adesi̇,ÜCRET İADESİ,,ÜCRET İADESİ,1,0,0,0,0
obilet üzer alın bilet kupon dönüş i̇ade soru eylül tarih obilet üzer uçak bilet al sonra bilet açığ al iste işlem sonuc bilet açığ alın kupon dönüş ol görün ancak ardından obilet’ten şekil bir mesaj al “seyahatiniz kullan kampanya kupon indirim miktar al iade miktar fazla ol kişisel kupon oluş i̇yi günle dil b ” konu hakkında obilet müşteri hizmet ulaş çalış fakat ulaş para iade kupon tekrar hesab yükle talep ed sorun kısa çöz ed uygulamatekni̇k,UYGULAMA/TEKNİK,,UYGULAMA/TEKNİK,0,0,0,1,0
ajetuçuşunun anlam i̇ptali yolcu yaşa büyük mağduriyet eylül tarih vf numara sivasi̇stanbul sabiha gökçe uç kalkış yarım saat kala ’e ertele ardından saat civar hava şart gerek göster iptal ed ancak aynı saat sivas havaliman havayol uç sorun şekil gerçek hava gayet açık ol rağmen ’in sadece kendi uç iptal et yolcu havaş otobüs kayser havaliman yönlen ban mantık gel bilet numara sivas havaliman civar gel saat ’te hala kayser yol uçağ kayseri ’da kalk söylen i̇stanbul’a varış muhtemelen sabah ’ü bul dinlen iş git zor kal ev ben bekle iki çocuğ aile süreç olumsuz etkile ayrıca süreç herhangi bir ikra yeterli bilgilen yap konakla öneri yetersiz belirsiz önce kadar büyük bir mağduriyet yaşa ’in tutum kabul et yaşa mağduriyet nedeniyle ek hizmet özür talep ed rötar müşteri̇ hi̇zmetleri̇,RÖTAR,MÜŞTERİ HİZMETLERİ,"MÜŞTERİ HİZMETLERİ,RÖTAR",0,0,1,0,1
kap kapan yetkili yok uçağ alın mağdur ed tarih samsun çarşamba havaliman gerçek ol vf sefer uç pnr mk bilet al uçuş saat önce saat ’de kap kapan ver güvenlik görev yar al bilet satış nokta yönlen ancak bilet satış nokta hiçbir yetkili bulun yar al uçağ bin yaşa mağduriyet gider öde tl bilet ücret iade ed talep ed müşteri temsilci yap görüşme çöz sun i̇lk böyle bir karşı mağduriyet acilen gider ist müşteri̇ hi̇zmetleri̇ ücret i̇adesi̇,MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ,"MÜŞTERİ HİZMETLERİ,ÜCRET İADESİ",1,0,1,0,0
uç parçala valiz i̇çin yetersiz çöz kötü muamele tarih türkiye üsküp yap uç lila renk büyük boy kabin bagaj paramparça ol üsküp havaliman euro tutanak tutul belge ’e mail yoluyla ilet tarih üsküp ankara dönüşüm aynı valiz tekrar paramparça ol ankara hasar ekib görüş inanılmaz çirkin bir üslup muamele karşı hatta bir çalış “şikayet ed i̇sterseniz” bağır orta gergin üstelik sadece ben aynı uç birçok kişi valiz ciddi şekil zarar gör ana kadar yüz yüz mail yoluyla ’le iletişim geç ancak gün fazla net bir çöz sun ban tl komik bir öde tadilat ücret teklif ed oysa ucuz büyük boy valiz bile euro başl teklif kesinlikle kabul et valiz tam ücret öde talep ed aksi takdirde yasal hak ara dav açacağ belirt iste ayrıca yaşa maddi manevi mağduriyet nedeniyle firma asla tekrar uç özellikle vurgul bura sonuç al hukuki sürec başla bagaj müşteri̇ hi̇zmetleri̇,BAGAJ,MÜŞTERİ HİZMETLERİ,"BAGAJ,MÜŞTERİ HİZMETLERİ",0,1,1,0,0
